rank,company,country,industry,employees,website,source
1,Walmart,U.S.,General Merchandisers,2300000,www.walmart.com,fortune-global-500
2,Amazon.com,U.S.,Internet Services and Retailing,1608000,www.amazon.com,fortune-global-500
3,China National Petroleum,China,Petroleum Refining,1090345,www.cnpc.com.cn,fortune-global-500
4,State Grid,China,Utilities,871145,www.sgcc.com.cn,fortune-global-500
5,Hon Hai Precision Industry,Taiwan,"Electronics, Electrical Equip.",826608,www.foxconn.com,fortune-global-500
6,China Post Group,China,"Mail, Package and Freight Delivery",748920,www.chinapost.com.cn,fortune-global-500
7,Volkswagen,Germany,Motor Vehicles & Parts,672789,www.volkswagenag.com,fortune-global-500
8,Accenture,Ireland,Information Technology Services,624000,www.accenture.com,fortune-global-500
9,U.S. Postal Service,U.S.,"Mail, Package and Freight Delivery",584902,www.usps.com,fortune-global-500
10,Deutsche Post DHL Group,Germany,"Mail, Package and Freight Delivery",548042,www.dpdhl.com,fortune-global-500
11,Sinopec Group,China,Petroleum Refining,542286,www.sinopec.com,fortune-global-500
12,FedEx,U.S.,"Mail, Package and Freight Delivery",508650,www.fedex.com,fortune-global-500
13,Jinneng Holding Group,China,"Mining, Crude-Oil Production",506364,www.dtcoalmine.com,fortune-global-500
14,Home Depot,U.S.,Specialty Retailers,490600,www.homedepot.com,fortune-global-500
15,Gazprom,Russia,Energy,468000,www.gazprom.com,fortune-global-500
16,Agricultural Bank of China,China,Banks: Commercial and Savings,455174,www.abchina.com,fortune-global-500
17,Concentrix Corporation,United States,,455000,,largest-us-employers
18,China Mobile Communications,China,Telecommunications,451331,www.10086.cn,fortune-global-500
19,Target,U.S.,General Merchandisers,450000,www.target.com,fortune-global-500
20,Industrial & Commercial Bank of China,China,Banks: Commercial and Savings,434089,www.icbc-ltd.com,fortune-global-500
21,Kroger,U.S.,Food & Drug Stores,420000,www.thekrogerco.com,fortune-global-500
22,"Marriott International, Inc.",United States,,414000,,largest-us-employers
23,Edeka Zentrale,Germany,Wholesalers: Food and Grocery,404900,www.verbund.edeka,fortune-global-500
24,Bosch Group,Germany,Motor Vehicles & Parts,402614,www.bosch.com,fortune-global-500
25,United Parcel Service,U.S.,"Mail, Package and Freight Delivery",400945,www.ups.com,fortune-global-500
26,Jardine Matheson,China,Motor Vehicles & Parts,400000,www.jardines.com,fortune-global-500
27,China Telecommunications,China,Telecommunications,394600,www.chinatelecom.com.cn,fortune-global-500
28,UnitedHealth Group Incorporated,United States,,390000,,largest-us-employers
29,JD.com,China,Internet Services and Retailing,385357,www.jd.com,fortune-global-500
30,Starbucks,U.S.,Food Services,383000,www.starbucks.com,fortune-global-500
31,Aviation Industry Corp. of China,China,Aerospace & Defense,380000,www.avic.com,fortune-global-500
32,"The TJX Companies, Inc.",United States,,377000,,largest-us-employers
33,China Construction Bank,China,Banks: Commercial and Savings,375531,www.ccb.com,fortune-global-500
34,Toyota Motor,Japan,Motor Vehicles & Parts,372817,www.global.toyota/en/,fortune-global-500
35,Berkshire Hathaway,U.S.,Insurance: Property and Casualty (Stock),372000,www.berkshirehathaway.com,fortune-global-500
36,China State Construction Engineering,China,Engineering & Construction,368327,www.cscec.com,fortune-global-500
37,Hitachi,Japan,"Electronics, Electrical Equip.",368247,www.hitachi.com,fortune-global-500
38,China Railway Construction,China,Engineering & Construction,366833,www.crcc.cn,fortune-global-500
39,China Resources,China,Pharmaceuticals,362706,www.crc.com.hk,fortune-global-500
40,Rosneft Oil,Russia,Petroleum Refining,356000,www.rosneft.com,fortune-global-500
41,Ping An Insurance,China,"Insurance: Life, Health (Stock)",355982,www.group.pingan.com,fortune-global-500
42,Cognizant Technology Solutions Corporation,United States,,351600,,largest-us-employers
43,UnitedHealth Group,U.S.,Health Care: Insurance and Managed Care,350000,www.unitedhealthgroup.com,fortune-global-500
44,Reliance Industries,India,Petroleum Refining,342982,www.ril.com,fortune-global-500
45,X5 Retail Group,Netherlands,Food & Drug Stores,340928,www.x5.ru,fortune-global-500
46,TJX,U.S.,Specialty Retailers,340000,www.tjx.com,fortune-global-500
47,Nippon Telegraph and Telephone,Japan,Telecommunications,333840,www.group.ntt,fortune-global-500
48,Deutsche Bahn,Germany,Railroads,323716,www.deutschebahn.com,fortune-global-500
49,Carrefour,France,Food & Drug Stores,319565,www.carrefour.com,fortune-global-500
50,China Energy Investment,China,"Mining, Crude-Oil Production",317168,www.ceic.com,fortune-global-500
51,China Railway Engineering Group,China,Engineering & Construction,310817,www.crecg.com,fortune-global-500
52,Pacific Construction Group,China,Engineering & Construction,310719,www.cpcg.com.cn,fortune-global-500
53,PepsiCo,U.S.,Food Consumer Products,309000,www.pepsico.com,fortune-global-500
54,Bank of China,China,Banks: Commercial and Savings,306322,www.boc.cn,fortune-global-500
55,Siemens,Germany,Industrial Machinery,303000,www.siemens.com,fortune-global-500
56,"TriNet Group, Inc.",United States,,302955,,largest-us-employers
57,CK Hutchison Holdings,China,Specialty Retailers,300000,www.ckh.com.hk,fortune-global-500
58,International Business Machines,U.S.,Information Technology Services,297800,www.ibm.com,fortune-global-500
59,BYD,China,Motor Vehicles & Parts,288186,www.byd.com,fortune-global-500
60,AEON,Japan,Food & Drug Stores,288064,www.aeon.info,fortune-global-500
61,Costco Wholesale,U.S.,General Merchandisers,288000,www.costco.com,fortune-global-500
62,Sberbank,Russia,Banks: Commercial and Savings,287866,www.sberbank.ru,fortune-global-500
63,China Southern Power Grid,China,Utilities,282006,www.csg.cn,fortune-global-500
64,Stellantis,Netherlands,Motor Vehicles & Parts,281595,www.stellantis.com,fortune-global-500
65,Sumitomo Electric Industries,Japan,Motor Vehicles & Parts,281075,www.global-sei.com,fortune-global-500
66,Fresenius,Germany,Health Care: Medical Facilities,281011,www.fresenius.com,fortune-global-500
67,"Albertsons Companies, Inc.",United States,,280000,,largest-us-employers
68,Aramark,United States,,278390,,largest-us-employers
