[20:49:08] ==================================================
[20:49:08] FAST SCRAPE — 20 workers, 10000 iterations, 0.08h max
[20:49:08] ==================================================
[20:49:08] Total source items: 139230
[20:49:08] Done: 0, Remaining: 139230
[20:49:08] DB: 195,067 | Gap: 804,933
[20:49:09] Launching 20 workers...
[20:49:15]   W12 + 45 indeed:ruby developer|Remote o=0
[20:49:20]   W03 + 33 indeed:payments engineer|Melbourne o=50
[20:49:25]   W06 + 27 indeed:web developer|Boston o=150
[20:49:31]   W06 + 32 indeed:infrastructure eng|New York o=150
[20:49:39]   W10 + 49 linkedin:tech lead|Washington o=200
[20:49:39]   W07 + 48 linkedin:data analyst|Sao Paulo o=0
[20:49:42]   W08 + 27 linkedin:Angular developer|Remote o=0
[20:49:46]   W11 + 48 linkedin:robotics engineer|Washington o=50
[20:49:58]   W01 + 25 linkedin:computer vision en|Noida o=0
[20:49:58]   W03 + 41 linkedin:SRE|Remote o=100
[20:49:58]   W10 + 26 indeed:staff engineer| o=50
[20:49:58]   W04 + 31 linkedin:search engineer|Los Angele o=0
[20:49:58]   W05 + 41 indeed:payments engineer|Denver o=200
[20:49:58]   W15 + 42 linkedin:data analyst|Houston o=100
[20:49:59]   W00 + 46 linkedin:penetration tester|Seattle o=150
[20:49:59]   W12 + 26 linkedin:cloud engineer|Chicago o=50
[20:49:59]   W18 + 45 linkedin:UX designer|Dubai o=0
[20:50:18]   W07 + 35 linkedin:SRE|Stockholm o=200
[20:50:19]   W08 + 30 linkedin:terraform engineer|Denver o=100
[20:50:19]   W06 + 26 linkedin:java developer|Washington o=0
[20:50:19]   W15 + 50 indeed:cloud architect|Austin o=100
[20:50:26]   W05 + 39 linkedin:data scientist|Dallas o=50
[20:50:26]   W10 + 32 linkedin:devops engineer|Los Angele o=100
[20:50:29]   W10 + 43 indeed:data engineer|Chicago o=50
[20:50:31]   W02 + 37 linkedin:cloud architect|Berlin o=50
[20:50:35]   W14 + 42 linkedin:VR engineer|Paris o=0
[20:50:40]   W19 + 33 linkedin:terraform engineer|Warsaw o=150
[20:50:40]   W18 + 42 indeed:staff engineer|Manchester o=150
[20:50:41]   W17 + 34 linkedin:QA engineer|Berlin o=150
[20:50:43]   W09 + 50 indeed:graphics engineer|Washington o=50
[20:50:45]   W13 + 38 indeed:embedded systems e|Sydney o=50
[20:50:48]   W00 + 28 linkedin:SRE|Houston o=100
[20:50:51]   W12 + 39 indeed:terraform engineer|Boston o=100
[20:50:51]   W15 + 37 linkedin:frontend developer|Paris o=200
[20:50:54]   W05 + 30 linkedin:blockchain develop|Washington o=50
[20:50:56]   W07 + 34 indeed:remote software en|Dallas o=0
[20:50:56]   W18 + 47 indeed:junior software en|Seattle o=150
[20:50:57]   W06 + 27 indeed:platform engineer|Delhi o=0
[20:51:00]   W08 + 38 linkedin:staff engineer|Pune o=150
[20:51:00]   W01 + 22 linkedin:QA engineer|Seoul o=150
[20:51:01]   W19 + 21 linkedin:devrel|Pune o=50
[20:51:04]   W11 + 50 indeed:node.js developer|Dublin o=150
[20:51:05]   W03 + 37 linkedin:full stack develop|London o=100
[20:51:07]   W18 + 43 indeed:game developer|Seattle o=50
[20:51:12]   W04 + 33 linkedin:mobile developer|San Franci o=200
[20:51:18]   W10 + 48 linkedin:QA engineer|San Diego o=150
[20:51:18]   W06 + 40 indeed:graphics engineer|Seattle o=150
[20:51:18]   W16 + 46 indeed:principal engineer|Remote o=100
[20:51:18]   W02 + 21 linkedin:ruby developer|Stockholm o=200
[20:51:18]   W09 + 40 linkedin:embedded systems e|Montreal o=100
[20:51:20]   W13 + 43 linkedin:gcp engineer|Bengaluru o=150
[20:51:21]   W08 + 40 indeed:senior software en|San Diego o=100
[20:51:23]   W10 + 50 indeed:engineering manage|Houston o=100
[20:51:26]   W12 + 22 linkedin:NLP engineer|Tokyo o=50
[20:51:27]   W01 + 32 linkedin:search engineer|San Diego o=100
[20:51:30]   W00 + 36 linkedin:devrel|Dallas o=50
[20:51:30]   W16 + 50 indeed:product manager|Remote o=150
[20:51:30]   W17 + 33 linkedin:devops engineer|Paris o=50
[20:51:30]   W09 + 40 indeed:solutions architec|Seattle o=50
[20:51:34]   [500] +2,411 new | DB=197,478 | 993/min | Gap=802,522
[20:51:34]   W07 + 50 linkedin:QA engineer|New York o=50
[20:51:34]   W11 + 24 linkedin:kubernetes enginee|Houston o=200
[20:51:36]   W19 + 45 linkedin:IoT engineer|Washington o=150
[20:51:48]   W03 + 50 indeed:rust developer|San Franci o=150
[20:51:53]   W15 + 40 indeed:payments engineer|Vancouver o=0
[20:51:53]   W02 + 44 linkedin:.NET developer|New York o=50
[20:51:54]   W12 + 25 linkedin:data engineer|Delhi o=50
[20:51:58]   W01 + 35 linkedin:site reliability e|Singapore o=0
[20:51:58]   W07 + 25 linkedin:staff engineer|Delhi o=100
[20:51:58]   W03 + 28 indeed:firmware engineer|Dublin o=0
[20:52:01]   W18 + 41 indeed:growth engineer|Austin o=0
[20:52:03]   W12 + 46 indeed:junior software en|Los Angele o=100
[20:52:06]   W10 + 50 linkedin:IT recruiter|Seattle o=150
[20:52:09]   W19 + 34 linkedin:CI/CD engineer|Berlin o=100
[20:52:11]   W13 + 46 linkedin:product manager|Seoul o=150
[20:52:11]   W00 + 23 linkedin:gcp engineer|Chennai o=50
[20:52:19]   W06 + 27 indeed:junior software en|Washington o=50
[20:52:21]   W00 + 48 indeed:search engineer|Atlanta o=150
[20:52:22]   W04 + 48 linkedin:robotics engineer|Dallas o=0
[20:52:22]   W14 + 31 linkedin:data engineer|Hong Kong o=200
[20:52:23]   W05 + 38 linkedin:devrel|Stockholm o=0
[20:52:24]   W00 + 44 indeed:embedded systems e|San Diego o=50
[20:52:26]   W02 + 22 linkedin:typescript develop|Manchester o=150
[20:52:27]   W11 + 24 linkedin:database engineer|Prague o=50
[20:52:35]   W07 + 28 linkedin:react developer|Warsaw o=100
[20:52:35]   W09 + 42 linkedin:ios developer|Washington o=150
[20:52:35]   W12 + 35 linkedin:terraform engineer|Los Angele o=150
[20:52:35]   W15 + 37 linkedin:site reliability e|London o=100
[20:52:42]   W13 + 31 linkedin:fastapi developer|Bengaluru o=200
[20:52:43]   W04 + 33 indeed:cloud security eng|Boston o=100
[20:52:48]   W19 + 46 linkedin:QA engineer|Prague o=100
