[23:39:35] ======================================================================
[23:39:35] ULTRA V2 — 300 workers, async DB writer, 158 keywords
[23:39:35] ======================================================================
[23:39:35] ROUND 1 | DB: 719,307 | Gap: 280,693
[23:39:35] Loading dedup keys...
[23:39:36] Dedup keys loaded: 719,307
[23:39:36] Total work items: 2,584,880
[23:39:38] Remaining: 2,584,880
[23:39:50]   W004 + 20 sh:Hadoop engineer|San Franci|p21
[23:39:50]   W020 + 20 sh:application secu|Houston|p21
[23:39:51]   W014 + 15 sh:machine learning|Nottingham|p26
[23:39:51]   W003 +  3 sh:mobile developer|Birmingham|p45
[23:39:51]   W036 + 20 sh:application engi|Warsaw|p48
[23:39:58]   W077 + 14 dc:SOC analyst|Jaipur|p35
[23:39:58]   W086 + 34 dc:project manager|Nottingham|p32
[23:39:58]   W052 + 32 dc:senior developer|Tokyo|p16
[23:39:58]   W081 + 10 dc:React Native dev|Amsterdam|p35
[23:39:58]   W068 + 34 dc:penetration test|Seattle|p11
[23:39:58]   W026 +  4 dc:fintech engineer|Copenhagen|p37
[23:39:58]   W021 +  9 dc:Swift developer|Miami|p37
[23:39:59]   W002 + 34 dc:staff engineer|Washington|p14
[23:39:59]   W083 + 20 sh:.NET developer|Phoenix|p11
[23:39:59]   W003 +  4 sh:Redis engineer|Wellington|p29
[23:40:00]   W085 + 34 dc:analytics engine|Boston|p19
[23:40:00]   W001 + 13 dc:Laravel develope|Singapore|p20
[23:40:00]   W049 + 32 dc:junior data engi|Lucknow|p47
[23:40:00]   W012 + 34 dc:PostgreSQL engin|Portland|p27
[23:40:00]   W001 + 33 dc:application secu|Hong Kong|p13
[23:40:01]   W073 + 34 dc:PostgreSQL engin|Patna|p26
[23:40:01]   W009 + 34 dc:AI engineer|Prague|p44
[23:40:01]   W026 + 34 dc:embedded enginee|Chennai|p22
[23:40:01]   W019 + 34 dc:backend engineer|Los Angele|p36
[23:40:01]   W068 + 30 dc:Node.js develope|London|p27
[23:40:01]   W094 + 10 dc:Next.js develope|Adelaide|p6
[23:40:01]   W075 +  8 dc:graphics enginee|Buenos Air|p2
[23:40:01]   W040 + 31 dc:senior frontend |Stockholm|p46
[23:40:02]   W036 +  4 sh:Kafka engineer|Nottingham|p24
[23:40:02]   W022 + 20 sh:Docker engineer|Austin|p44
